Corpus,Amount,Duplicates
204077052,2,19148491 204077052
96709687,2,197142895 96709687
153887480,2,153887480 198701815
6593912,2,6593912 83807758
62834905,2,62834905 168286430
35672605,2,35672605 6219531
35174723,2,35174723 28126515
13104845,2,54559459 13104845
34925313,2,34925313 42392460
132126096,2,133292193 132126096
138158699,2,135930656 138158699
14359296,2,14359296 61939965
12368855,2,56580746 12368855
197408522,2,197408522 10880370
62380517,2,62380517 36770862
40063467,4,215143469 215121118 80059675 40063467
1446774,2,209143064 1446774
4436821,2,4436821 90521525
196505244,2,196505244 80991669
56940074,2,56940074 71916271
157984839,2,114343437 157984839
25359020,2,110500075 25359020
182364337,2,43114328 182364337
96890882,2,96890882 197350551
52403100,2,52403100 189870807
268151,2,169702880 268151
169658186,2,169658186 169281646
206457014,2,206457014 124063231
14797237,2,123690044 14797237
139363114,2,139363114 139479606
40445062,2,35229884 40445062
85162290,2,85162290 37633364
28802120,2,28802120 37783570
37571966,2,24182843 37571966
100411869,2,33451860 100411869
86551783,2,208437902 86551783
32860418,2,204486761 32860418
158234595,2,158234595 159032460
30477080,2,30477080 27270000
2753584,2,2753584 196978959
197200131,2,33735929 197200131
126863113,2,126863113 129171077
4263384,2,54567248 4263384
195857783,2,7854093 195857783
45442712,2,45442712 20891722
54448642,2,54448642 87860173
20163108,2,20163108 27225767
53249437,2,53249437 208922134
25437196,2,4345265 25437196
32683451,2,144010913 32683451
80725566,2,76503291 80725566
20595857,2,20595857 76039854
181590651,2,151178880 181590651
195862624,2,195862624 110868755
43225242,2,43225242 203740143
57700492,2,57700492 5886828
118940506,2,118940506 197528975
90477545,2,14138393 90477545
205193984,2,205193984 205207939
44704945,2,44704945 83883729
80379004,2,205006729 80379004
574004,2,46589283 574004
4517022,2,25238950 4517022
111121649,2,111121649 110887051
80055462,2,204999714 80055462
71004406,2,71520630 71004406
117818214,2,198138169 117818214
73917377,2,73917377 2762409
197166103,2,96544493 197166103
117710101,2,117710101 195300047
12021738,2,12021738 139692647
128874268,2,11779050 128874268
34775343,2,28589678 34775343
207747713,2,207747713 196713319
10822050,2,10822050 120468327
96543564,2,197060890 96543564
13587626,2,13587626 138154447
62207295,2,10612742 62207295
122792434,2,122792434 55083492
214746868,2,2206857 214746868
60520717,2,32617808 60520717
209869172,2,209869172 27592950
126047044,2,119366962 126047044
74134134,2,32475244 74134134
16069772,2,16069772 31909358
136645168,2,136645168 135714427
22287652,2,22287652 201144965
84214934,2,84214934 19955479
196807961,2,196807961 197276759
967296,2,967296 196339468
88415279,2,74349460 88415279
95359192,2,95359192 104301548
169661230,2,166928436 169661230
36109568,2,36109568 123506251
20507969,2,20507969 198480393
126353486,2,962008 126353486
72195444,2,72195444 19679405
189832295,2,97814284 189832295
153648774,2,157745474 153648774
52296,2,52296 118875850
136590107,2,136590107 189852603
156547919,2,155443309 156547919
73300023,2,34777345 73300023
194562479,2,194562479 171967186
57073078,2,12638174 57073078
143097097,2,143097097 171269140
44961070,2,44961070 206603415
26417800,2,26417800 77857679
79579222,2,214133257 79579222
3000629,2,197049898 3000629
